HostRegion,Product ID,Unit,AUD List Price(per unit),AUD List Price,AUD Transfer Price(per unit),AUD Transfer Price
AUS,AUS-DK-0003-0001,59520,0.000235,13.987200,0.000200,11.904000
AUS,AUS-VM-0001-0003,15603,0.486808,7595.665224,0.413800,6456.521400
AUS,AUS-SD-0001-0001,1297082,0.000235,304.814270,0.000200,259.416400
AUS,AUS-DK-0002-0001,119050,0.000235,27.976750,0.000200,23.810000
AUS,AUS-IP-0001-0001,17856,0.012600,224.985600,0.010700,191.059200
AUS,AUS-VM-0001-0004,4221,0.973615,4109.628915,0.827600,3493.299600
AUS,AUS-NW-0002-0001,744,0.026689,19.856616,0.022700,16.888800
AUS,AUS-DK-0001-0001,3602860,0.000235,846.672100,0.000200,720.572000
AUS,AUS-VM-0001-0011,744,1.947230,1448.739120,1.655100,1231.394400
AUS,AUS-NW-0001-0001,297,0.012600,3.742200,0.010700,3.177900
AUS,AUS-VM-0001-0002,5208,0.243976,1270.627008,0.207400,1080.139200
AUS,AUS-VM-0001-0001,4465,0.121416,542.122440,0.103200,460.788000
Total,-,-,16408.817443,-,13948.9709
