Product ID,Unit,AUD Transfer Price(per unit),AUD Transfer Price
AUS-DK-0003-0001,1476620,0.000200,295.324
AUS-DK-0002-0001,989540,0.000200,197.908
AUS-SD-0001-0001,6954227,0.000200,1390.8454
AUS-VM-0001-0003,41633,0.413800,17227.7354
AUS-IP-0001-0001,102046,0.010700,1091.8922
AUS-VM-0001-0004,24203,0.827600,20030.4028
AUS-DK-0003-0002,148800,0.000200,29.76
AUS-NW-0002-0001,2232,0.022700,50.6664
AUS-DK-0001-0001,22988750,0.000200,4597.75
AUS-VM-0001-0011,4464,1.655100,7388.3664
AUS-NW-0001-0001,594,0.010700,6.3558
AUS-VM-0001-0002,24550,0.207400,5091.67
AUS-VM-0001-0001,31382,0.103200,3238.6224
Total,-,-,60637.2988
