HostRegion,Product ID,Unit,EUR List Price(per unit),EUR List Price,EUR Transfer Price(per unit),EUR Transfer Price
DEU,DEU-VM-0001-0002,4464,0.973000,4343.472000,0.167700,748.612800
DEU,DEU-DK-0003-0002,238080,0.000190,45.235200,0.000160,38.092800
DEU,DEU-DK-0001-0001,6167380,0.000190,1171.802200,0.000160,986.780800
DEU,DEU-IP-0001-0001,8481,0.010000,84.810000,0.008700,73.784700
DEU,DEU-DK-0003-0001,171120,0.000190,32.512800,0.000160,27.379200
DEU,DEU-VM-0001-0001,5544,0.098200,544.420800,0.083500,462.924000
DEU,DEU-NW-0001-0001,599,0.010200,6.109800,0.008700,5.211300
DEU,DEU-VM-0001-0004,4464,0.787300,3514.507200,0.669200,2987.308800
DEU,DEU-VM-0001-0003,744,0.393600,292.838400,0.334600,248.942400
DEU,DEU-SD-0001-0001,518690,0.000190,98.551100,0.000160,82.990400
Total,-,-,10134.2595,-,5662.0272
