Product ID,Unit,EUR Transfer Price(per unit),EUR Transfer Price
DEU-DK-0003-0002,1318550,0.000160,210.968
DEU-VM-0001-0002,55396,0.167700,9289.9092
DEU-DK-0001-0001,37725830,0.000160,6036.1328
DEU-IP-0001-0001,134039,0.008700,1166.1393
UKI-SD-0001-0001,80,0.000160,0.0128
DEU-NW-0002-0001,9716,0.018300,177.8028
DEU-DK-0003-0001,2154040,0.000160,344.6464
DEU-VM-0001-0001,50597,0.083500,4224.8495
DEU-DK-0002-0001,935640,0.000160,149.7024
DEU-NW-0001-0001,2542,0.008700,22.1154
DEU-VM-0001-0004,20939,0.669200,14012.3788
DEU-VM-0001-0003,33570,0.334600,11232.522
DEU-SD-0001-0001,6055302,0.000160,968.84832
Total,-,-,47836.02772
