HostRegion,Product ID,Unit,SGD List Price(per unit),SGD List Price,SGD Transfer Price(per unit),SGD Transfer Price
SIN,SIN-VM-0001-0002,744,0.306500,228.036000,0.261500,194.556000
SIN,SIN-VM-0001-0004,1633,1.226100,2002.221300,1.043600,1704.198800
SIN,SIN-IP-0001-0001,5952,0.015900,94.636800,0.013500,80.352000
SIN,SIN-VM-0001-0003,5064,0.613100,3104.738400,0.521800,2642.395200
SIN,SIN-DK-0001-0001,5438640,0.000300,1631.592000,0.000250,1359.660000
SIN,SIN-NW-0002-0001,744,0.033700,25.072800,0.028600,21.278400
SIN,SIN-NW-0001-0001,65,0.015900,1.033500,0.013500,0.877500
SIN,SIN-VM-0001-0001,744,0.153300,114.055200,0.130100,96.794400
SIN,SIN-SD-0001-0001,528240,0.000300,158.472000,0.000250,132.060000
Total,-,-,7359.858,-,6232.1723
