Product ID,Unit,SGD Transfer Price(per unit),SGD Transfer Price
SIN-VM-0001-0004,4438,1.043600,4631.4968
SIN-VM-0001-0002,5208,0.261500,1361.892
SIN-IP-0001-0001,14880,0.013500,200.88
SIN-DK-0001-0001,8782230,0.000250,2195.5575
SIN-VM-0001-0003,7698,0.521800,4016.8164
SIN-DK-0003-0001,89280,0.000250,22.32
SIN-NW-0002-0001,744,0.028600,21.2784
SIN-DK-0002-0001,7440,0.000250,1.86
SIN-NW-0001-0001,580,0.013500,7.83
SIN-SD-0001-0001,959611,0.000250,239.90275
SIN-VM-0001-0001,2976,0.130100,387.1776
Total,-,-,13087.01145
